ﾊﾏﾉﾍﾏﾐﾑﾁﾎﾉﾁ ﾊ ﾓﾔﾁﾌﾏﾐﾏﾕﾋﾏﾓ ﾊﾁﾉ ﾓﾉﾁ ﾅﾅ ﾌﾁﾃﾃﾏﾓ ﾌﾉﾗﾁﾇﾋ ﾔﾏﾕ ﾍﾉﾊﾏﾋﾁﾏﾕ , 998869193
SYNAPSIS ﾓﾕﾌﾂﾏﾕﾋﾏﾉ ﾅﾐﾉﾗﾅﾉﾑﾇﾌﾁﾔﾉﾊﾙﾍ ﾁﾐﾏﾖﾁﾓﾅﾙﾍ ﾌﾏﾍﾏﾐﾑﾏﾓﾙﾐﾇ ﾅﾔﾁﾉﾑﾅﾉﾁ ﾐﾅﾑﾉﾏﾑﾉﾓﾌﾅﾍﾇﾓ ﾅﾕﾈﾕﾍﾇﾓ , 998869200
ﾊﾕﾑﾉﾁﾊﾏﾓ ﾊﾅﾖﾁﾋﾉﾄﾇﾓ ﾊﾁﾉ ﾓﾏﾋﾙﾍﾁﾓ ﾄﾅﾓﾐﾏﾔﾏﾐﾏﾕﾋﾏﾓ ﾏﾅ , 998869170
ﾌ ﾊﾏﾑﾙﾍﾁﾉﾏﾕ ﾊﾁﾉ ﾓﾉﾁ ﾏﾅ , 998869181
ﾊﾏﾉﾍﾙﾍﾉﾁ ﾅﾊﾌﾅﾔﾁﾋﾋﾅﾕﾓﾇﾓ ﾁﾊﾉﾍﾇﾔﾏﾈ ﾊﾏﾕﾔﾓﾏﾃﾋﾏﾕ , 998869144
ﾓﾔ ﾊﾏﾆﾇﾓ ﾓﾔ ﾓﾔﾁﾌﾁﾔﾉﾁﾄﾇﾓ ﾏﾅ , 998869156
ﾊﾏﾉﾍﾏﾐﾑﾁﾎﾉﾁ ﾊﾏﾕﾔﾑﾏﾕﾌﾐﾁﾓ ﾁﾈ ﾗﾁﾔﾆﾇﾄﾁﾊﾇﾓ ﾌ , 998869168
ﾓ ﾊﾏﾊﾏﾓﾁﾋﾁﾊﾇﾓ ﾌ ﾐﾅﾔﾑﾏﾂﾉﾔﾓ ﾏﾅ , 998869119
ﾊﾏﾉﾍﾙﾍﾉﾁ ﾅﾊﾌﾅﾔﾁﾋﾋﾅﾕﾓﾇﾓ ﾁﾊﾉﾍﾇﾔﾏﾕ ﾐﾁﾍﾏﾕﾑﾃﾉﾁ , 998869120
ﾄﾉﾁﾃﾙﾍﾉﾆﾏﾌﾅﾍﾇ ﾊﾏﾉﾍﾏﾐﾑﾁﾎﾉﾁ ﾅﾋﾋﾇﾍﾉﾊﾇ ﾔﾅﾗﾍﾏﾄﾏﾍﾉﾊﾇ ﾔﾅﾂ ﾁﾅ ﾁﾊﾔﾙﾑ ﾁﾔﾅ ﾐﾁﾍﾔﾅﾗﾍﾉﾊﾇ ﾁﾅ INTRACOM HOLDINGS INTRAKAT ﾁﾅ , 998869132
ﾉﾙﾁﾍﾍﾇﾓ ﾄ ﾌﾐﾏﾕﾆﾉﾍﾅﾊﾇﾓ ﾊﾁﾉ ﾓﾉﾁ ﾅﾅ , 998869088
ﾗﾁﾑﾁﾋﾁﾌﾐﾏﾓ ﾆﾏﾕﾑﾏﾕﾖﾉﾄﾇﾓ ﾊﾁﾉ ﾓﾉﾁ ﾅﾅ , 998869090
HUMAN FACTOR ﾐﾋﾇﾑﾏﾖﾏﾑﾉﾁﾊﾁ ﾓﾕﾓﾔﾇﾌﾁﾔﾁ ﾄﾉﾁﾗﾅﾉﾑﾉﾓﾇﾓ ﾁﾍﾈﾑﾙﾐﾉﾍﾏﾕ ﾄﾕﾍﾁﾌﾉﾊﾏﾕ ﾌﾏﾍﾏﾐﾑﾏﾓﾙﾐﾇ ﾅﾔﾁﾑﾅﾉﾁ ﾐﾅﾑﾉﾏﾑﾉﾓﾌﾅﾍﾇﾓ ﾅﾕﾈﾕﾍﾇﾓ , 998869107
ﾁ ﾃﾅﾙﾑﾃﾏﾕﾋﾇ ﾁ ﾊﾙﾍﾓﾔﾁﾍﾔﾁﾊﾇﾓ ﾏ ﾅ , 998869052
